qid,scenario,type,question,as_of,gold_answer,answer,auto_verdict,auto_reason,human_verdict,human_note,gold_evidence,retrieved,gold_evidence_recall,latency_ms,tokens_in,tokens_out,error
Q027,eldercare,fact_change,截至3月9日，王秀兰吃的降压药是什么？,2026-03-09T20:00:00,氨氯地平 5mg，每日一次（3 月 11 日才换成缬沙坦，此时尚未更换）。,"根据记忆中的记录：
[2026-03-06T09:00:00] 张护士：今天血压 152/94，还是偏高，氨氯地平吃了快一周了，效果一般。
[2026-03-04T17:19:00] 护工-李梅：食堂今天有您爱吃的南瓜羹，我给您留了一份。
[2026-03-05T17:22:00] 护工-李梅：食堂今天有您爱吃的南瓜羹，我给您留了一份。
[2026-03-02T08:08:00] 王秀兰：吃了，那个白色的小片，我记着呢。",对,命中现行事实，且未把旧值当成现行,,,eld-d01-01 eld-d05-01,eld-d05-01 eld-d03-04 eld-d04-01 eld-d01-02,0.5,0.48,19,122,
Q028,eldercare,fact_change,王秀兰的助眠药是什么？从哪天开始吃的？,2026-03-31T20:00:00,右佐匹克隆 1mg 睡前服用，从 3 月 19 日开始，且只在睡不着时吃。,"根据记忆中的记录：
[2026-03-11T10:35:00] 护工-李梅：记下了，明天开始给王奶奶发缬沙坦，原来那个氨氯地平我收走。
[2026-03-04T14:30:00] 护工-李梅：王奶奶，周三下午的书法班开始了，我陪您上二楼活动室。
[2026-03-11T14:30:00] 护工-李梅：王奶奶，周三下午的书法班开始了，我陪您上二楼活动室。
[2026-03-02T09:27:00] 王秀兰：今天天气比昨天暖和，窗户开一条缝就行。
[2026-03-18T09:29:00] 王秀兰：今天天气比昨天暖和，窗户开一条缝就行。
[2026-03-19T09:26:00] 王秀兰：今天天气比昨天暖和，窗户开一条缝就行。
[2026-03-24T09:23:00] 王秀兰：今天天气比昨天暖和，窗户开一条缝就行。
[2026-03-05T20:14:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。",错,缺少关键事实：右佐匹克隆、(3月19|19日),,,eld-d18-01,eld-d10-02 eld-d03-01 eld-d10-03 eld-d01-04 eld-d17-05 eld-d18-05 eld-d23-03 eld-d04-03,0.0,1.51,19,241,
Q037,eldercare,cross_session,这一个月里王秀兰的家属一共来看过几次？分别是谁来的？,2026-03-31T20:00:00,5 次：3 月 3 日儿子王建国、3 月 10 日孙女王小雨、3 月 17 日儿子、3 月 24 日儿子和孙女同来、3 月 31 日儿子。,"根据记忆中的记录：
[2026-03-02T19:27:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-07T19:24:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-10T19:19:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-11T19:19:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-13T19:20:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-21T19:17:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-23T19:19:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-25T19:26:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。",错,缺少关键事实：(建国|儿子)、(小雨|孙女),,,eld-d02-02 eld-d09-02 eld-d16-01 eld-d23-01 eld-d28-01,eld-d01-05 eld-d06-01 eld-d09-07 eld-d10-06 eld-d12-06 eld-d20-05 eld-d22-03 eld-d24-03,0.0,1.81,26,227,
Q038,eldercare,cross_session,王秀兰的降压药换过几次？从什么换成了什么？为什么换？,2026-03-31T20:00:00,换过 1 次：3 月 11 日因血压持续偏高（150 上下），从氨氯地平 5mg 换成缬沙坦 80mg。,"根据记忆中的记录：
[2026-03-11T10:30:00] 陈医生：王奶奶的氨氯地平从今天停掉，换成缬沙坦 80mg，还是每天早饭后一片，两周后复查。
[2026-03-25T09:05:00] 张护士：换缬沙坦两周了，今天血压 132/82，降下来了，方案先不动。
[2026-03-05T20:14:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-13T20:12:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-14T20:06:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-20T20:12:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-24T20:15:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-28T20:04:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。",对,命中全部关键事实,,,eld-d05-01 eld-d09-01 eld-d10-01,eld-d10-01 eld-d24-01 eld-d04-03 eld-d12-05 eld-d13-03 eld-d19-01 eld-d23-05 eld-d27-03,0.333,1.62,26,241,
Q039,eldercare,cross_session,王秀兰这个月总共报告过哪些身体不适？分别是哪天？,2026-03-31T20:00:00,3 次：3 月 4 日膝盖疼、3 月 13 日夜间咳嗽、3 月 22 日头晕。,"根据记忆中的记录：
[2026-03-02T19:27:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-07T19:24:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-10T19:19:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-11T19:19:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-13T19:20:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-21T19:17:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-23T19:19:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-25T19:26:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。",错,缺少关键事实：膝盖、咳嗽、头晕,,,eld-d03-02 eld-d12-01 eld-d21-02,eld-d01-05 eld-d06-01 eld-d09-07 eld-d10-06 eld-d12-06 eld-d20-05 eld-d22-03 eld-d24-03,0.0,1.61,24,227,
Q040,eldercare,cross_session,王秀兰换降压药前后，血压读数有什么变化？,2026-03-31T20:00:00,换药前 3 月 6 日 152/94、3 月 10 日连续三天 150 上下；换药后 3 月 25 日降到 132/82。,"根据记忆中的记录：
[2026-03-25T09:05:00] 张护士：换缬沙坦两周了，今天血压 132/82，降下来了，方案先不动。
[2026-03-10T09:10:00] 张护士：连着三天高压都在 150 上下，我跟陈医生反映一下，看要不要换药。
[2026-03-03T11:00:00] 护工-李梅：王奶奶，一会儿量个血压，例行的。
[2026-03-09T11:05:00] 护工-李梅：王奶奶，一会儿量个血压，例行的。
[2026-03-13T11:04:00] 护工-李梅：王奶奶，一会儿量个血压，例行的。
[2026-03-16T11:07:00] 护工-李梅：王奶奶，一会儿量个血压，例行的。
[2026-03-19T11:04:00] 护工-李梅：王奶奶，一会儿量个血压，例行的。
[2026-03-20T11:00:00] 护工-李梅：王奶奶，一会儿量个血压，例行的。",对,命中全部关键事实,,,eld-d05-01 eld-d09-01 eld-d24-01,eld-d24-01 eld-d09-01 eld-d02-05 eld-d08-02 eld-d12-03 eld-d15-02 eld-d18-04 eld-d19-02,0.667,1.34,20,219,
Q049,eldercare,refusal,王秀兰的糖尿病用的是什么药？,2026-03-31T20:00:00,数据中没有王秀兰患糖尿病或使用糖尿病药物的任何记录，应明确表示不知道。,"根据记忆中的记录：
[2026-03-02T19:27:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-07T19:24:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-10T19:19:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-11T19:19:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-13T19:20:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-21T19:17:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-23T19:19:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-25T19:26:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。",错,没有明确表示不知道/无相关记录,,,,eld-d01-05 eld-d06-01 eld-d09-07 eld-d10-06 eld-d12-06 eld-d20-05 eld-d22-03 eld-d24-03,,1.23,14,227,
Q050,eldercare,refusal,王秀兰的女儿上次是什么时候来看她的？,2026-03-31T20:00:00,数据中只出现过儿子王建国和孙女王小雨，没有女儿，应明确指出没有相关记录。,"根据记忆中的记录：
[2026-03-04T10:20:00] 王秀兰：我右腿膝盖发酸，上下楼梯的时候疼得厉害。
[2026-03-24T14:50:00] 护工-李梅：王奶奶，儿子-王建国、孙女-王小雨来看您了，爷孙俩一起来的，带了一台新收音机。
[2026-03-10T14:30:00] 护工-李梅：王奶奶，孙女-王小雨来看您了，带了一束满天星，还给您念了会儿报纸。
[2026-03-29T16:00:00] 护工-李梅：王奶奶，儿子-王建国来看您了，陪着聊了一个多小时，说下月接您回家住几天。
[2026-03-03T15:00:00] 护工-李梅：王奶奶，儿子-王建国来看您了，带了两盒您爱吃的核桃酥。
[2026-03-17T15:20:00] 护工-李梅：王奶奶，儿子-王建国来看您了，带来一件新棉马甲，试了正合身。
[2026-03-02T19:27:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-07T19:24:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。",错,没有明确表示不知道/无相关记录,,,,eld-d03-02 eld-d23-01 eld-d09-02 eld-d28-01 eld-d02-02 eld-d16-01 eld-d01-05 eld-d06-01,,1.47,18,293,
Q051,eldercare,refusal,王秀兰住在几号房间？,2026-03-31T20:00:00,数据中从未提到过房间号或床位号，应明确表示不知道。,"根据记忆中的记录：
[2026-03-04T10:36:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-07T10:44:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-10T10:46:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-12T10:36:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-16T10:43:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-29T10:35:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-29T16:00:00] 护工-李梅：王奶奶，儿子-王建国来看您了，陪着聊了一个多小时，说下月接您回家住几天。
[2026-03-18T21:30:00] 王秀兰：这几天夜里翻来覆去睡不着，天快亮了才迷糊一会儿。",错,没有明确表示不知道/无相关记录,,,,eld-d03-07 eld-d06-04 eld-d09-04 eld-d11-03 eld-d15-01 eld-d28-04 eld-d28-01 eld-d17-01,,0.94,10,241,
Q052,eldercare,refusal,王秀兰对青霉素过敏吗？,2026-03-31T20:00:00,数据中没有王秀兰任何药物过敏的记录，应明确表示无相关信息，不得臆断为'不过敏'。,"根据记忆中的记录：
[2026-03-05T20:14:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-13T20:12:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-14T20:06:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-20T20:12:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-24T20:15:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-28T20:04:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-29T20:16:00] 王秀兰：我这记性不如从前了，刚说过的话转脸就忘。
[2026-03-02T19:27:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。",错,没有明确表示不知道/无相关记录,,,,eld-d04-03 eld-d12-05 eld-d13-03 eld-d19-01 eld-d23-05 eld-d27-03 eld-d28-06 eld-d01-05,,1.08,11,220,
Q005,pet,fact_recall,3月11日陈屿决定把豆包的主粮换成什么？,2026-03-31T20:00:00,换成渴望成犬粮，按七天过渡法慢慢换。,"根据记忆中的记录：
[2026-03-11T11:00:00] 陈屿：决定换粮了，皇家幼犬粮停掉，改喂渴望成犬粮，按七天过渡法慢慢换。
[2026-03-28T07:40:00] 陈屿：渴望这个粮吃了半个多月，便便一直是成型的，挺合适。
[2026-03-18T07:45:00] 陈屿：过渡期结束，现在豆包吃的是纯渴望成犬粮了。
[2026-03-05T22:11:00] 陈屿：豆包睡在它自己的窝里，打呼噜。
[2026-03-23T22:11:00] 陈屿：豆包睡在它自己的窝里，打呼噜。
[2026-03-09T11:00:00] 刘医生：肠胃有点敏感，不是感染，先吃一周益生菌，粮也可以考虑换个低敏的。
[2026-03-02T07:40:00] 陈屿：豆包早饭吃的还是皇家幼犬粮，一直吃这个牌子。
[2026-03-06T20:11:00] 陈屿：刷牙的时候它躲，只刷了前面几颗。",对,命中全部关键事实,,,pet-d10-01,pet-d10-01 pet-d27-01 pet-d17-01 pet-d04-04 pet-d22-03 pet-d08-02 pet-d01-01 pet-d05-02,1.0,1.42,19,230,
Q006,pet,fact_recall,3月9日刘医生对豆包的诊断和处置是什么？,2026-03-31T20:00:00,肠胃敏感、不是感染，先吃一周益生菌，建议换低敏粮。,"根据记忆中的记录：
[2026-03-09T10:30:00] 陈屿：带豆包去安康动物医院看软便了，挂的刘医生。
[2026-03-09T11:10:00] 刘医生：顺便称了一下，9.2 公斤，这个月龄偏瘦一点点。
[2026-03-27T10:40:00] 刘医生：恢复得不错，益生菌可以停了。体重 10.1 公斤，这一个月长了差不多一公斤。
[2026-03-09T11:00:00] 刘医生：肠胃有点敏感，不是感染，先吃一周益生菌，粮也可以考虑换个低敏的。
[2026-03-21T19:10:00] 陈屿：刘医生说豆包偏瘦，让加量，从今天起每顿从 80 克加到 100 克。
[2026-03-20T10:20:00] 刘医生：疫苗打完了，观察半小时没反应就可以走。体重 9.5 公斤，比上次长了点。
[2026-03-05T18:30:00] 陈屿：买零食的时候得看配料，豆包对鸡肉过敏，吃了浑身起红点。
[2026-03-07T21:20:00] 陈屿：这两天便便有点软，不知道是不是皇家这袋粮不对付。",对,命中全部关键事实,,,pet-d08-02,pet-d08-01 pet-d08-03 pet-d26-02 pet-d08-02 pet-d20-01 pet-d19-02 pet-d04-01 pet-d06-01,1.0,1.05,20,271,
Q007,pet,fact_recall,3月5日陈屿提到豆包对什么食物过敏？,2026-03-31T20:00:00,对鸡肉过敏，吃了浑身起红点。,"根据记忆中的记录：
[2026-03-05T18:30:00] 陈屿：买零食的时候得看配料，豆包对鸡肉过敏，吃了浑身起红点。
[2026-03-24T15:00:00] 陈屿：同事想喂豆包鸡胸肉干，我赶紧拦下了，它鸡肉过敏。
[2026-03-18T07:45:00] 陈屿：过渡期结束，现在豆包吃的是纯渴望成犬粮了。
[2026-03-27T10:15:00] 陈屿：带豆包回安康动物医院复查肠胃。
[2026-03-02T16:15:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-04T16:16:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-07T16:16:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-09T16:18:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。",对,命中全部关键事实,,,pet-d04-01,pet-d04-01 pet-d23-01 pet-d17-01 pet-d26-01 pet-d01-03 pet-d03-03 pet-d06-03 pet-d08-05,1.0,1.3,18,214,
